category,c-upper,subcategory-1,sc-upper,subcategory-2,sc2-upper,name,name-upper,articul,color,size,,,image-src
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/f4b6dca0e2911082f0eb6e1df1a0e11d_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/9267284e7733f4bec00d2e114d3f3ba1_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/935dbd09c0a7727e2143877810820513_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/f60a47f7792630a3a86bc14c0657e89c_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/3d10c9c21f6f61faeefd4aa27b190def_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/621af29360685f88fae4c26f96ed9d8c_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/ee842e3019fee30e4ca87cc93974d54b_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/7293a47c0f4cdddd46ff10bcf3d23287_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/45e8f4939bc3bd36e4b87ab1e324d227_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/28b8f12309e9ac4afaade20e5d04ffc2_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/4ab4b6df96c060fa741e97b50eafb07c_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/56dab2b3675237b0ba79395c67ee9ae4_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/b6d7090a321aeca0f529ab265a288b1b_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/3409e45349ec9f6b3397bfe10e87a1d0_L.jpg
